"id","farmer","village","district","mandal","crop","acreage","health","risk","confidence","lat","lng","ndvi","evi","ndre","analytics","outline","geometry"
"AND-GUN-000228","Prasad Nimmagadda","R F","Guntur","Mangalagiri","Paddy (Rice)",6.2,70.67,"Medium",98.6,16.44864893150663,80.58851936309777,0.63,0.41,0.29,"{""pH"": 8.76, ""EC"": 2.37, ""Organic_Carbon"": 0.67, ""Nitrogen"": 378.0, ""Phosphorus"": 67.0, ""Potassium"": 432.0, ""Zinc"": 3.21, ""Iron"": 8.53, ""Copper"": 0.84, ""Boron"": 0.53, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Drip"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-000228""}",NULL,NULL
"AND-GUN-000238","Lakshmi Chowdary","SIRIPURAM","Guntur","Medikonduru","Jowar (Sorghum)",0.85,52.83,"High",98.4,16.284045687260303,80.69527078235997,0.45,0.47,0.34,"{""pH"": 8.04, ""EC"": 0.2, ""Organic_Carbon"": 0.23, ""Nitrogen"": 233.0, ""Phosphorus"": 18.0, ""Potassium"": 155.0, ""Zinc"": 1.33, ""Iron"": 13.54, ""Copper"": 0.41, ""Boron"": 0.28, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-000238""}",NULL,NULL
"AND-GUN-002407","Kiran Kodali","PEDDAKONDURU","Guntur","Duggirala","Onion",5.79,69.3,"Medium",92.3,16.381796122011977,80.68813889503693,0.45,0.34,0.48,"{""pH"": 6.33, ""EC"": 0.72, ""Organic_Carbon"": 1.41, ""Nitrogen"": 268.0, ""Phosphorus"": 41.0, ""Potassium"": 87.0, ""Zinc"": 3.06, ""Iron"": 13.41, ""Copper"": 1.28, ""Boron"": 1.25, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-002407""}",NULL,NULL
"AND-GUN-007053","Bhavani Konidela","PEDDAKONDURU","Guntur","Duggirala","Sunflower",13.98,96.6,"Low",96.3,16.37990398114966,80.69790840007533,0.75,0.2,0.41,"{""pH"": 7.15, ""EC"": 2.23, ""Organic_Carbon"": 0.6, ""Nitrogen"": 181.0, ""Phosphorus"": 26.0, ""Potassium"": 309.0, ""Zinc"": 0.51, ""Iron"": 12.45, ""Copper"": 0.43, ""Boron"": 2.25, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-007053""}",NULL,NULL
"AND-GUN-005744","Bhavani Uppalapati","R F","Guntur","Mangalagiri","Jowar (Sorghum)",14.88,99.6,"Low",90.3,16.45343368419989,80.58585557715547,0.6,0.57,0.33,"{""pH"": 6.43, ""EC"": 2.91, ""Organic_Carbon"": 0.85, ""Nitrogen"": 142.0, ""Phosphorus"": 7.0, ""Potassium"": 427.0, ""Zinc"": 0.27, ""Iron"": 12.03, ""Copper"": 1.55, ""Boron"": 2.38, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-005744""}",NULL,NULL
"AND-GUN-007349","Ramesh Dasari","R F","Guntur","Tadepalle","Green Gram (Moong)",10.75,85.83,"Low",95.8,16.446810831739686,80.57695545062077,0.39,0.22,0.36,"{""pH"": 5.77, ""EC"": 2.43, ""Organic_Carbon"": 0.76, ""Nitrogen"": 264.0, ""Phosphorus"": 77.0, ""Potassium"": 127.0, ""Zinc"": 3.34, ""Iron"": 7.98, ""Copper"": 0.93, ""Boron"": 1.12, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-007349""}",NULL,NULL
"AND-GUN-008343","Srinivas Reddy","R F","Guntur","Tadepalle","Bengal Gram (Chickpea)",3.11,60.37,"Medium",93.6,16.43750578856298,80.58029943337209,0.45,0.37,0.28,"{""pH"": 7.97, ""EC"": 1.65, ""Organic_Carbon"": 1.34, ""Nitrogen"": 237.0, ""Phosphorus"": 16.0, ""Potassium"": 495.0, ""Zinc"": 2.69, ""Iron"": 7.57, ""Copper"": 0.78, ""Boron"": 0.21, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-008343""}",NULL,NULL
"AND-GUN-001797","Narasimha Daggubati","SIRIPURAM","Guntur","Kollipara","Bengal Gram (Chickpea)",10.89,86.3,"Low",86.8,16.27704328888826,80.6972183677739,0.63,0.21,0.26,"{""pH"": 5.66, ""EC"": 0.97, ""Organic_Carbon"": 0.21, ""Nitrogen"": 116.0, ""Phosphorus"": 40.0, ""Potassium"": 161.0, ""Zinc"": 1.7, ""Iron"": 3.64, ""Copper"": 0.31, ""Boron"": 0.89, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-001797""}",NULL,NULL
"AND-GUN-003296","Ramakrishna Pothineni","SIRIPURAM","Guntur","Medikonduru","Jowar (Sorghum)",1.47,54.9,"High",89.2,16.28496667890895,80.69523256021105,0.43,0.35,0.27,"{""pH"": 6.27, ""EC"": 2.8, ""Organic_Carbon"": 0.83, ""Nitrogen"": 434.0, ""Phosphorus"": 62.0, ""Potassium"": 197.0, ""Zinc"": 0.44, ""Iron"": 7.88, ""Copper"": 0.11, ""Boron"": 1.05, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-003296""}",NULL,NULL
"AND-GUN-005297","Ramakrishna Raju","SIRIPURAM","Guntur","Medikonduru","Tomato",7.28,74.27,"Medium",93.7,16.281961961302542,80.69339063525203,0.65,0.21,0.21,"{""pH"": 5.59, ""EC"": 2.34, ""Organic_Carbon"": 0.39, ""Nitrogen"": 207.0, ""Phosphorus"": 75.0, ""Potassium"": 249.0, ""Zinc"": 0.8, ""Iron"": 6.86, ""Copper"": 0.97, ""Boron"": 0.88, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Kharif"", ""Survey_Number"": ""AP-005297""}",NULL,NULL
"AND-GUN-007390","Anand Golla","SIRIPURAM","Guntur","Kollipara","Black Gram (Urad)",6.65,72.17,"Medium",88.6,16.277510389652658,80.69359831493327,0.79,0.35,0.29,"{""pH"": 5.33, ""EC"": 0.4, ""Organic_Carbon"": 0.34, ""Nitrogen"": 121.0, ""Phosphorus"": 49.0, ""Potassium"": 556.0, ""Zinc"": 1.95, ""Iron"": 11.36, ""Copper"": 1.72, ""Boron"": 1.89, ""Soil_Type"": ""Sandy"", ""Irrigation_Type"": ""Rainfed"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-007390""}",NULL,NULL
"AND-GUN-009824","Kiran Akkineni","SIRIPURAM","Guntur","Kollipara","Bengal Gram (Chickpea)",3.38,61.27,"Medium",89.2,16.291178926739104,80.69492450205186,0.47,0.25,0.26,"{""pH"": 6.8, ""EC"": 1.52, ""Organic_Carbon"": 0.37, ""Nitrogen"": 413.0, ""Phosphorus"": 68.0, ""Potassium"": 541.0, ""Zinc"": 0.99, ""Iron"": 2.66, ""Copper"": 1.76, ""Boron"": 1.3, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-009824""}",NULL,NULL
"AND-GUN-001669","Siva Yarlagadda","MULUKUDURU","Guntur","Ponnur","Cotton",2.19,57.3,"High",95.4,16.016019715161214,80.53040855733286,0.43,0.31,0.37,"{""pH"": 8.19, ""EC"": 1.0, ""Organic_Carbon"": 0.75, ""Nitrogen"": 329.0, ""Phosphorus"": 6.0, ""Potassium"": 383.0, ""Zinc"": 1.68, ""Iron"": 10.32, ""Copper"": 1.54, ""Boron"": 2.26, ""Soil_Type"": ""Silty Loam"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-001669""}",NULL,NULL
"AND-GUN-008913","Prakash Allu","MULUKUDURU","Guntur","Ponnur","Coconut",13.15,93.83,"Low",88.4,16.019554833761617,80.52899106592463,0.61,0.38,0.35,"{""pH"": 7.23, ""EC"": 2.22, ""Organic_Carbon"": 1.09, ""Nitrogen"": 186.0, ""Phosphorus"": 57.0, ""Potassium"": 528.0, ""Zinc"": 0.89, ""Iron"": 4.5, ""Copper"": 1.66, ""Boron"": 1.97, ""Soil_Type"": ""Clay"", ""Irrigation_Type"": ""Borewell"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-008913""}",NULL,NULL
"AND-GUN-006794","Ramu Mekapati","RETURU","Guntur","Kakumanu","Ragi (Finger Millet)",5.1,67.0,"Medium",87.5,15.985806797620773,80.44002842386422,0.33,0.44,0.21,"{""pH"": 7.03, ""EC"": 2.88, ""Organic_Carbon"": 0.68, ""Nitrogen"": 152.0, ""Phosphorus"": 38.0, ""Potassium"": 526.0, ""Zinc"": 1.93, ""Iron"": 7.94, ""Copper"": 1.75, ""Boron"": 0.94, ""Soil_Type"": ""Loamy"", ""Irrigation_Type"": ""Canal"", ""Crop_Season"": ""Rabi"", ""Survey_Number"": ""AP-006794""}",NULL,NULL
"AND-GUN-001321","Lakshmi Kothapalli","KONDAPATURU","Guntur","Kakumanu","Jowar (Sorghum)",4.08,63.6,"Medium",85.3,16.0276651255433,80.41589627350113,0.57,0.34,0.31,"{""pH"": 6.78, ""EC"": 0.96, ""Organic_Carbon"": 1.46, ""Nitrogen"": 284.0, ""Phosphorus"": 61.0, ""Potassium"": 342.0, ""Zinc"": 1.93, ""Iron"": 13.46, ""Copper"": 0.56, ""Boron"": 2.19, ""Soil_Type"": ""Clay Loam"", ""Irrigation_Type"": ""Sprinkler"", ""Crop_Season"": ""Zaid"", ""Survey_Number"": ""AP-001321""}",NULL,NULL
