State,District,Mandal,Village,Parcel_ID,Parcel_Area_Acres,Survey_Number,Soil_Type,Crop_Season,Crop_Name,Irrigation_Type,pH,EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Zinc,Iron,Copper,Boron,Sample_Date,Soil_Healthy_%,Soil_Unhealthy_%,Farmer_Name
Andhra Pradesh,NTR,Tiruvuru,Erramadu,AND-NTR-000006,2.76,AP-000006,Sandy,Kharif,Onion,Sprinkler,7.95,0.76,0.24,261,56,354,0.42,13.87,1.18,1.82,2025-07-24,59.2,40.8,Satyanarayana Bandi
Andhra Pradesh,NTR,Tiruvuru,Anjaneyapuram,AND-NTR-000022,2.52,AP-000022,Sandy Loam,Zaid,Red Gram (Pigeon Pea),Canal,6.67,1.68,0.59,434,72,88,2.4,9.21,1.87,0.35,2024-03-11,58.4,41.6,Ramesh Rao
Andhra Pradesh,NTR,Ibrahimpatnam,Jupudi,AND-NTR-000042,7.68,AP-000042,Clay,Zaid,Onion,Rainfed,8.64,0.22,0.24,226,30,100,2.25,5.1,1.0,0.37,2024-12-24,75.6,24.4,Suresh Raju
Andhra Pradesh,NTR,Tiruvuru,Anjaneyapuram,AND-NTR-000069,1.58,AP-000069,Sandy Loam,Kharif,Sweet Orange,Borewell,7.59,0.62,0.43,412,53,326,1.84,9.58,0.54,1.63,2024-05-29,55.27,44.73,Kiran Bandi
Andhra Pradesh,NTR,Veerullapadu,Thimmapuram,AND-NTR-000096,7.66,AP-000096,Clay Loam,Kharif,Bengal Gram (Chickpea),Canal,5.75,1.85,1.19,435,14,261,3.34,10.16,0.98,1.45,2024-05-31,75.53,24.47,Srinu Reddy
Andhra Pradesh,NTR,A.Konduru,A.Konduru,AND-NTR-000119,13.44,AP-000119,Loamy,Rabi,Sesame (Til),Borewell,6.38,2.85,0.24,178,62,459,1.43,11.92,1.19,1.37,2024-03-09,94.8,5.2,Venkata Varma
Andhra Pradesh,NTR,Penuganchiprolu,Lingagudem,AND-NTR-000130,7.91,AP-000130,Loamy,Kharif,Sweet Orange,Drip,7.74,0.65,0.41,363,64,590,3.1,8.47,0.27,1.04,2025-03-04,76.37,23.63,Babu Yarlagadda
Andhra Pradesh,NTR,Gampalagudem,Peda Komira,AND-NTR-000131,6.55,AP-000131,Sandy Loam,Rabi,Sesame (Til),Borewell,5.18,0.92,0.98,434,65,372,1.97,13.01,0.92,2.22,2025-04-13,71.83,28.17,Ramu Chowdary
Andhra Pradesh,NTR,Gampalagudem,Meduru,AND-NTR-000144,4.86,AP-000144,Clay,Kharif,Tomato,Drip,8.23,0.21,1.4,313,27,117,3.49,7.16,1.04,2.35,2025-08-10,66.2,33.8,Narasimha Reddy
Andhra Pradesh,NTR,Veerullapadu,Thimmapuram,AND-NTR-000170,9.07,AP-000170,Sandy,Kharif,Jowar (Sorghum),Rainfed,7.48,2.59,1.19,147,56,468,1.44,8.19,1.31,1.79,2025-12-14,80.23,19.77,Prasad Kaza
Andhra Pradesh,NTR,Ibrahimpatnam,KILESHWARAPURAM,AND-NTR-000207,1.97,AP-000207,Silty Loam,Kharif,Jowar (Sorghum),Canal,5.94,1.84,1.14,245,8,388,0.88,9.89,0.46,1.04,2024-05-23,56.57,43.43,Babu Mekapati
Andhra Pradesh,NTR,Gampalagudem,Ummadidevarapalle,AND-NTR-000218,11.32,AP-000218,Loamy,Kharif,Sweet Orange,Rainfed,8.69,2.99,1.21,379,36,234,0.22,7.33,0.54,0.93,2025-09-29,87.73,12.27,Lakshmi Mekapati
Andhra Pradesh,NTR,Gampalagudem,Peda Komira,AND-NTR-000228,6.2,AP-000228,Loamy,Rabi,Paddy (Rice),Drip,8.76,2.37,0.67,378,67,432,3.21,8.53,0.84,0.53,2025-06-22,70.67,29.33,Prasad Nimmagadda
Andhra Pradesh,NTR,Reddigudem,Naguluru,AND-NTR-000238,0.85,AP-000238,Sandy,Rabi,Jowar (Sorghum),Canal,8.04,0.2,0.23,233,18,155,1.33,13.54,0.41,0.28,2025-12-04,52.83,47.17,Lakshmi Chowdary
Andhra Pradesh,NTR,Penuganchiprolu,Lingagudem,AND-NTR-000264,8.02,AP-000264,Silty Loam,Rabi,Horse Gram,Rainfed,5.49,1.21,0.97,185,13,126,1.18,5.78,1.48,1.53,2024-09-11,76.73,23.27,Sai Daggubati
Andhra Pradesh,NTR,Veerullapadu,Thimmapuram,AND-NTR-000279,10.68,AP-000279,Clay Loam,Rabi,Banana,Drip,7.92,1.84,1.13,286,62,196,0.52,10.57,0.1,0.95,2024-02-25,85.6,14.4,Babu Nimmagadda
Andhra Pradesh,NTR,A.Konduru,Kambampadu,AND-NTR-000289,4.65,AP-000289,Clay Loam,Kharif,Turmeric,Sprinkler,7.46,2.29,0.91,408,30,278,1.17,4.31,1.4,0.55,2025-03-29,65.5,34.5,Sai Kodali
Andhra Pradesh,NTR,Vijayawada (Urban),Unknown,AND-NTR-000325,14.35,AP-000325,Loamy,Kharif,Sugarcane,Canal,8.53,1.77,0.54,308,69,189,2.04,8.54,0.75,0.38,2024-10-10,97.83,2.17,Ravi Dasari
Andhra Pradesh,NTR,Tiruvuru,Vavilala,AND-NTR-000356,9.82,AP-000356,Silty Loam,Rabi,Jowar (Sorghum),Drip,7.5,1.66,0.7,368,68,237,2.22,6.19,1.32,0.37,2025-09-27,82.73,17.27,Subba Rao Dasari
Andhra Pradesh,NTR,Vatsavai,Rebbavaram,AND-NTR-000409,13.63,AP-000409,Sandy Loam,Rabi,Tobacco,Sprinkler,6.46,1.09,1.26,402,60,525,2.07,6.45,1.42,0.52,2025-09-27,95.43,4.57,Ramesh Yarlagadda
Andhra Pradesh,NTR,Chandarlapadu,Katrenipalle,AND-NTR-000442,14.81,AP-000442,Sandy Loam,Kharif,Turmeric,Drip,5.14,0.62,0.85,145,43,436,1.58,9.25,0.46,2.47,2025-02-25,99.37,0.63,Rambabu Bandi
